metric,value,dependencia_terreno,tipo
pd,1.8510332699919416,0.4,Agriculture
pd,2.302662528180583,0.4,Urban
pladj,93.6929365853062,0.4,Grassland
pladj,94.39775838319392,0.4,Forest
pladj,97.8047650963402,0.4,Agriculture
pladj,90.06423005501466,0.4,Urban
pland,16.726100856468335,0.4,Grassland
pland,24.26633932393553,0.4,Forest
pland,54.674671127273854,0.4,Agriculture
pland,4.332888692322298,0.4,Urban
shape_mn,1.1127364493628409,0.4,Grassland
shape_mn,2.3475047025217037,0.4,Forest
shape_mn,2.337209044885723,0.4,Agriculture
shape_mn,2.282303793315883,0.4,Urban
split,77.7350757453679,0.4,Grassland
split,59.398244141578246,0.4,Forest
split,6.142634448585192,0.4,Agriculture
split,1464.1655087717418,0.4,Urban
tca,96480.26,0.4,Grassland
tca,141726.5,0.4,Forest
tca,344679.02,0.4,Agriculture
tca,22798.99,0.4,Urban
te,27717390,0.4,Grassland
te,36077510,0.4,Forest
te,31320180,0.4,Agriculture
te,11423020,0.4,Urban
ai,93.82293560975198,0.5,Grassland
ai,94.51167639857442,0.5,Forest
ai,97.81931350186436,0.5,Agriculture
ai,90.1274157992118,0.5,Urban
area_mn,0.9924256458305442,0.5,Grassland
area_mn,3.5175422380153036,0.5,Forest
area_mn,29.537378940526487,0.5,Agriculture
area_mn,1.8816863692769903,0.5,Urban
ca,111216.17999999988,0.5,Grassland
ca,161353.18,0.5,Forest
ca,363546.06,0.5,Agriculture
ca,28810.5,0.5,Urban
cai_mn,0.9777748373496126,0.5,Grassland
cai_mn,9.466830258185674,0.5,Forest
cai_mn,8.321276666871764,0.5,Agriculture
cai_mn,7.383336895073355,0.5,Urban
circle_mn,0.43574923634653506,0.5,Grassland
circle_mn,0.6789769937973622,0.5,Forest
circle_mn,0.6849595685247186,0.5,Agriculture
circle_mn,0.688171000585154,0.5,Urban
clumpy,0.9258223230354428,0.5,Grassland
clumpy,0.9275312515936504,0.5,Forest
clumpy,0.9518881262999984,0.5,Agriculture
clumpy,0.8968027353827305,0.5,Urban
cohesion,99.95780140888571,0.5,Grassland
cohesion,99.10393994641832,0.5,Forest
cohesion,99.97995744846186,0.5,Agriculture
cohesion,99.66758764024098,0.5,Urban
contig_mn,0.07031464085973982,0.5,Grassland
contig_mn,0.4418540696201681,0.5,Forest
contig_mn,0.43085974916067227,0.5,Agriculture
contig_mn,0.42459449856210346,0.5,Urban
core_mn,0.8613193236068352,0.5,Grassland
core_mn,3.096299404852739,0.5,Forest
core_mn,27.997381377965553,0.5,Agriculture
core_mn,1.491515250473516,0.5,Urban
cpland,14.51646673662534,0.5,Grassland
cpland,21.360326876714332,0.5,Forest
cpland,51.82408440326708,0.5,Agriculture
cpland,3.4344562774752423,0.5,Urban
dcad,1.6937225127274331,0.5,Grassland
dcad,8.352359011662534,0.5,Forest
dcad,3.0084554381636988,0.5,Agriculture
dcad,2.2441597704598437,0.5,Urban
dcore_mn,0.1004952482934012,0.5,Grassland
dcore_mn,1.2107213708007238,0.5,Forest
dcore_mn,1.6252843678908029,0.5,Agriculture
dcore_mn,0.9745934295604468,0.5,Urban
division,0.9821287902447255,0.5,Grassland
division,0.9831644855087558,0.5,Forest
division,0.837203400532759,0.5,Agriculture
division,0.9993170171035932,0.5,Urban
ed,40.92943165758978,0.5,Grassland
ed,53.235930402592835,0.5,Forest
ed,47.34340932295136,0.5,Agriculture
ed,17.17702627685202,0.5,Urban
frac_mn,1.029379804412402,0.5,Grassland
frac_mn,1.2066883032554483,0.5,Forest
frac_mn,1.2075982679322517,0.5,Agriculture
frac_mn,1.2074631378960334,0.5,Urban
gyrate_mn,3.4318032562638088,0.5,Grassland
gyrate_mn,28.75657637600346,0.5,Forest
gyrate_mn,31.643277113138097,0.5,Agriculture
gyrate_mn,25.637590412983982,0.5,Urban
iji,98.26660576427084,0.5,Grassland
iji,73.00973859254309,0.5,Forest
iji,68.3962134821997,0.5,Agriculture
iji,74.24415368227864,0.5,Urban
lpi,13.29392152437072,0.5,Grassland
lpi,12.82051841203604,0.5,Forest
lpi,38.49146232711158,0.5,Agriculture
lpi,2.592550460358051,0.5,Urban
lsi,206.932083958021,0.5,Grassland
lsi,221.39780931043063,0.5,Forest
lsi,132.46172982834398,0.5,Agriculture
lsi,168.4618556701031,0.5,Urban
mesh,11883.030588038744,0.5,Grassland
mesh,11194.369961763863,0.5,Forest
mesh,108247.67867362672,0.5,Agriculture
mesh,454.1330307376198,0.5,Urban
ndca,11262,0.5,Grassland
ndca,55537,0.5,Forest
ndca,20004,0.5,Agriculture
ndca,14922,0.5,Urban
nlsi,0.06177064390248026,0.5,Grassland
nlsi,0.05488323601425576,0.5,Forest
nlsi,0.02562664855775913,0.5,Agriculture
nlsi,0.09872584200788198,0.5,Urban
np,112065,0.5,Grassland
np,45871,0.5,Forest
np,12308,0.5,Agriculture
np,15311,0.5,Urban
pafrac,1.4503738607981933,0.5,Grassland
pafrac,1.501396382926063,0.5,Forest
pafrac,1.5304957383306748,0.5,Agriculture
pafrac,1.567836357960277,0.5,Urban
para_mn,0.370059707807208,0.5,Grassland
para_mn,0.22054037357086803,0.5,Forest
para_mn,0.22510727977699996,0.5,Agriculture
para_mn,0.22759666027606532,0.5,Urban
pd,16.853757182454252,0.5,Grassland
pd,6.8986632375528405,0.5,Forest
pd,1.8510332699919416,0.5,Agriculture
pd,2.3026625281805835,0.5,Urban
pladj,93.79480126003249,0.5,Grassland
pladj,94.48814705728142,0.5,Forest
pladj,97.80308993033783,0.5,Agriculture
pladj,90.07431318442929,0.5,Urban
pland,16.726100856468324,0.5,Grassland
pland,24.266339323935515,0.5,Forest
pland,54.674671127273854,0.5,Agriculture
pland,4.332888692322298,0.5,Urban
shape_mn,1.1177305161873734,0.5,Grassland
shape_mn,2.3473817905002625,0.5,Forest
shape_mn,2.3513493113148427,0.5,Agriculture
shape_mn,2.3018466728505977,0.5,Urban
split,55.95592093058352,0.5,Grassland
split,59.39824414157823,0.5,Forest
split,6.14263444858519,0.5,Agriculture
split,1464.165508771741,0.5,Urban
