metric,tipo,max_d,esc
0,LNK,0,8
6643782083.717417,SLC,0,8
1107323476.1038072,MSC,0,8
0.999952206331374,CCP,0,8
0.24137323779665742,LCP,0,8
NA,CPL,0,8
6643623318.315172,ECS,0,8
NA,AWF,0,8
0,IIC,0,8
5,NC,10,8
2,LNK,10,8
6643782483.397481,SLC,10,8
1328788171.3245687,MSC,10,8
0.9999523266426537,CCP,10,8
0.24137326683796848,LCP,10,8
1,CPL,10,8
6643624117.656197,ECS,10,8
4608902285656.253,AWF,10,8
0.2413732376619071,IIC,10,8
2,NC,100,8
5,LNK,100,8
6643783882.277705,SLC,100,8
3321970428.311422,MSC,100,8
0.9999527477321843,CCP,100,8
0.2413733684825699,LCP,100,8
1.6,CPL,100,8
6643626915.350136,ECS,100,8
165369604907493.75,AWF,100,8
0.2413732884842083,IIC,100,8
1,NC,1000,8
6,LNK,1000,8
6643940856.622844,SLC,1000,8
6643940856.622844,MSC,1000,8
1,CCP,1000,8
0.24138477446057935,LCP,1000,8
1.6666666666666667,CPL,1000,8
6643940856.622844,ECS,1000,8
1623584591136176.8,AWF,1000,8
0.24137899160727277,IIC,1000,8
1,NC,10000,8
8,LNK,10000,8
6643940856.622844,SLC,10000,8
6643940856.622844,MSC,10000,8
1,CCP,10000,8
0.24138477446057935,LCP,10000,8
1.8571428571428572,CPL,10000,8
6643940856.622844,ECS,10000,8
2057423083968631,AWF,10000,8
0.24137899644757865,IIC,10000,8
1,NC,1e+05,8
16,LNK,1e+05,8
6643940856.622844,SLC,1e+05,8
6643940856.622844,MSC,1e+05,8
1,CCP,1e+05,8
0.24138477446057935,LCP,1e+05,8
1.3333333333333333,CPL,1e+05,8
6643940856.622844,ECS,1e+05,8
2106800775696310,AWF,1e+05,8
0.2413789964475812,IIC,1e+05,8
6,NC,0,9
0,LNK,0,9
6643782083.717498,SLC,0,9
1107323476.1038206,MSC,0,9
0.9999522063313743,CCP,0,9
0.2413732377966633,LCP,0,9
NA,CPL,0,9
